"Eruption Length (min)","Wait Time since Previous Eruption (min)"
4.15,87
3.93333333333333,95
4.11666666666667,88
4.05,93
1.78333333333333,86
4.31666666666667,113
3.73333333333333,47
4.18333333333333,97
3.96666666666667,86
4.01666666666667,91
3.86666666666667,84
4.31666666666667,98
4.16666666666667,82
4.48333333333333,106
4.2,85
3.96666666666667,102
9.9,88
11.3833333333333,93
12.9333333333333,91
14.7333333333333,101
16.15,89
17.4833333333333,86
18.9666666666667,83
4.56666666666667,109
4.13333333333333,92
4,86
4.01666666666667,86
4.46666666666667,93
4.06666666666667,94
3.95,90
4.31666666666667,99
4.33333333333333,102
4.25,97
4.06666666666667,91
1.9,91
4.06666666666667,56
3.98333333333333,92
3.96666666666667,91
4.01666666666667,87
4.56666666666667,96
4.45,87
4.21666666666667,99
4.41666666666667,103
4.1,84
4.01666666666667,94
4.33333333333333,97
4.4,94
4.21666666666667,103
4.21666666666667,95
4.13333333333333,82
3.75,100
4,92
3.85,85
4.38333333333333,89
4.18333333333333,67
4.21666666666667,107
1.96666666666667,88
4.28333333333333,90
4.36666666666667,93
3.81666666666667,90
4.18333333333333,94
1.81666666666667,91
4.73333333333333,89
4.33333333333333,72
4.26666666666667,98
4.15,90
4.18333333333333,85
4,101
2,81
4.18333333333333,88
4,63
4.01666666666667,95
4,97
4.11666666666667,96
1.91666666666667,86
4.43333333333333,85
3.71666666666667,60
4.65,104
4.35,81
4.28333333333333,87
4.25,99
4,86
4,98
4.33333333333333,95
4.26666666666667,101
4.13333333333333,98
4,89
4.25,89
4.5,94
3.96666666666667,90
4.21666666666667,99
4.26666666666667,101
4.25,89
4,93
4.13333333333333,94
4.16666666666667,88
4.56666666666667,88
4.25,88
4.08333333333333,102
4.4,95
4.23333333333333,102
4.16666666666667,79
4.08333333333333,105
4.26666666666667,107
4.16666666666667,103
4.16666666666667,88
4.3,94
3.91666666666667,87
4.23333333333333,88
3.98333333333333,106
4.36666666666667,85
4.05,94
4.18333333333333,92
3.91666666666667,83
4.25,96
4.4,83
4.38333333333333,91
3.85,96
4.13333333333333,111
4.3,89
4.1,95
4.11666666666667,102
4.21666666666667,92
4.58333333333333,91
3.86666666666667,82
4.48333333333333,93
4.25,94
4.43333333333333,103
4.15,83
4.31666666666667,99
4.43333333333333,79
3.93333333333333,109
4.16666666666667,91
4.25,94
3.98333333333333,97
4.15,91
4.01666666666667,100
4.36666666666667,81
4.21666666666667,99
4.18333333333333,87
4.1,92
4.23333333333333,90
3.83333333333333,85
4.35,87
4.38333333333333,96
4.1,91
4.28333333333333,108
4.3,86
4.46666666666667,92
4.28333333333333,95
4.16666666666667,94
4.03333333333333,97
4.36666666666667,90
4.1,100
4.35,107
4.28333333333333,86
3.88333333333333,97
4.28333333333333,87
4.08333333333333,93
4.25,94
4.43333333333333,88
4.33333333333333,90
4.21666666666667,108
4.06666666666667,92
4.66666666666667,91
4.31666666666667,99
4.25,92
4.08333333333333,88
4.3,93
4.38333333333333,95
4.41666666666667,93
3.81666666666667,89
4.11666666666667,86
4.03333333333333,93
4.05,96
4.35,94
3.88333333333333,91
4.05,98
4.46666666666667,84
4.3,87
3.5,86
4.25,102
4.03333333333333,77
4.13333333333333,59
4.26666666666667,104
3.41666666666667,91
4.43333333333333,100
4.06666666666667,86
4.18333333333333,87
3.71666666666667,93
4.26666666666667,95
4.2,84
4.1,93
4.08333333333333,95
4.11666666666667,85
4.11666666666667,87
3.91666666666667,91
4.18333333333333,84
4.13333333333333,96
3.93333333333333,71
4.41666666666667,91
4.3,94
4.28333333333333,95
4.28333333333333,89
4.13333333333333,91
4.06666666666667,87
4.11666666666667,84
4.06666666666667,119
1.86666666666667,82
4.61666666666667,86
4.25,79
4.08333333333333,98
4.13333333333333,89
4.48333333333333,92
1.95,95
4.7,89
3.88333333333333,71
4.16666666666667,96
4.1,99
4.33333333333333,98
4.35,92
4.16666666666667,89
4.05,91
4.63333333333333,93
3.96666666666667,96
3.81666666666667,84
4.3,96
4.38333333333333,92
4.5,99
4.26666666666667,99
4.48333333333333,98
4.61666666666667,107
3.98333333333333,94
4.5,103
4.21666666666667,93
4.3,88
4.51666666666667,94
4.63333333333333,99
4.08333333333333,87
4.35,85
4.01666666666667,88
4.36666666666667,95
4,80
4.15,91
4.41666666666667,89
4.03333333333333,89
3.88333333333333,100
4.18333333333333,60
4.25,108
4.2,104
4.15,91
4.21666666666667,91
4.5,85
3.78333333333333,85
4.03333333333333,86
4.38333333333333,98
4.25,90
1.8,84
4.5,100
4.3,56
4.25,95
4.3,91
4.16666666666667,94
4.16666666666667,94
4.06666666666667,99
4.06666666666667,91
3.9,91
3.86666666666667,86
4,82
4.26666666666667,97
4.4,96
4.13333333333333,92
4.4,92
4.35,88
2.36666666666667,107
4.35,84
4.05,73
1.58333333333333,94
1.66666666666667,95
1.43333333333333,100
1.6,86
1.38333333333333,96
1.56666666666667,83
1.48333333333333,94
4.11666666666667,89
4.16666666666667,91
4,103
3.96666666666667,92
4,90
4.03333333333333,94
3.91666666666667,84
4.35,87
3.83333333333333,105
4.3,96
4.08333333333333,87
4.26666666666667,92
4.16666666666667,95
4.05,83
4.05,101
3.76666666666667,86
4.36666666666667,85
4.8,94
4,94
4.15,107
4.08333333333333,98
4.13333333333333,92
4.15,85
3.86666666666667,92
4.2,83
4,92
4.1,84
4.11666666666667,95
4.25,95
3.81666666666667,82
4.2,107
4.33333333333333,91
4.3,90
4.26666666666667,88
4.51666666666667,88
4.06666666666667,88
4.23333333333333,95
4.11666666666667,97
4.48333333333333,90
4.13333333333333,82
4.3,95
4.56666666666667,96
4.16666666666667,96
4.23333333333333,95
4.11666666666667,97
4.48333333333333,90
4.13333333333333,82
4.3,95
4.56666666666667,96
4.16666666666667,96
7.58333333333333,99
4.15,85
4,82
4.25,109
4.56666666666667,94
2.16666666666667,92
4.46666666666667,91
4.06666666666667,63
3.85,97
4.4,84
3.91666666666667,99
4.08333333333333,79
4.16666666666667,97
4,93
4.18333333333333,84
3.93333333333333,86
4.18333333333333,83
4.51666666666667,87
4.58333333333333,94
4,83
4.1,98
4.08333333333333,92
4.06666666666667,96
4.33333333333333,91
4.2,90
4.06666666666667,85
4.06666666666667,94
4.08333333333333,83
3.93333333333333,89
3.61666666666667,93
4.16666666666667,92
4.16666666666667,83
4.06666666666667,90
4.08333333333333,83
4.33333333333333,88
4.3,90
4.16666666666667,79
4.06666666666667,94
4.41666666666667,102
4,94
4.1,89
4.23333333333333,92
4.11666666666667,100
3.66666666666667,80
4.51666666666667,108
4.2,82
4.25,90
4.05,97
4.25,92
4.03333333333333,95
4.1,86
4.2,90
4.36666666666667,86
4.23333333333333,103
4.01666666666667,95
4.38333333333333,90
4.03333333333333,83
4,82
4.25,105
4.13333333333333,95
4.26666666666667,102
4.16666666666667,84
4.3,111
4.13333333333333,85
4.33333333333333,89
4.03333333333333,93
4.3,86
4.15,89
4.28333333333333,109
4.16666666666667,84
4.13333333333333,100
4.28333333333333,96
4.21666666666667,95
4.38333333333333,90
4.01666666666667,98
4.25,105
4.1,90
4.16666666666667,90
3.93333333333333,84
4.01666666666667,92
4.36666666666667,94
4.15,89
4.05,94
3.96666666666667,95
4.38333333333333,95
4.18333333333333,94
4.73333333333333,122
4.21666666666667,110
4.21666666666667,88
4.23333333333333,95
4.33333333333333,96
4.26666666666667,95
4.2,86
4.31666666666667,95
4.15,95
4.13333333333333,96
4.08333333333333,92
4.18333333333333,88
4.03333333333333,99
4.18333333333333,90
3.95,78
4.15,102
3.96666666666667,88
4.18333333333333,96
4.05,87
4.2,100
3.81666666666667,92
4.41666666666667,83
4,86
3.88333333333333,90
3.96666666666667,86
4.23333333333333,87
4.16666666666667,83
4.11666666666667,95
4.38333333333333,98
4.58333333333333,106
4.15,110
3.93333333333333,91
4.31666666666667,89
4.01666666666667,84
3.98333333333333,89
4.15,101
4.26666666666667,89
3.76666666666667,83
4.25,90
3.33333333333333,92
4.53333333333333,106
3.98333333333333,99
4.2,64
4.46666666666667,85
4.08333333333333,100
4.5,101
3.95,83
4.08333333333333,90
4.28333333333333,99
4.3,86
4.25,89
4.11666666666667,86
3.95,90
4.15,88
4.16666666666667,93
4.08333333333333,87
4.51666666666667,92
4.13333333333333,99
4.18333333333333,93
4.08333333333333,79
4.58333333333333,88
4.16666666666667,73
4.51666666666667,97
4.03333333333333,105
4.03333333333333,87
3.96666666666667,92
4.15,91
4.61666666666667,91
4.01666666666667,88
4.2,85
3.96666666666667,85
4.16666666666667,104
4.31666666666667,86
4.15,91
4.51666666666667,96
4.03333333333333,85
4.15,95
4.05,83
4.16666666666667,97
4.21666666666667,98
4.16666666666667,83
3.95,99
4.4,94
3.91666666666667,99
4.33333333333333,79
4.15,107
4.16666666666667,99
4.28333333333333,91
4.63333333333333,92
4.28333333333333,92
4,87
4.43333333333333,95
4.15,88
3.98333333333333,93
4.28333333333333,92
4,92
4.31666666666667,88
4.36666666666667,90
4.13333333333333,91
4.36666666666667,86
4,91
4.16666666666667,87
4.11666666666667,67
4.41666666666667,95
4.13333333333333,95
4.3,106
4.33333333333333,95
4.3,99
4,90
4.13333333333333,93
4.2,94
4.03333333333333,90
4.16666666666667,94
4.38333333333333,104
4.36666666666667,91
4.35,92
4.08333333333333,91
1.81666666666667,90
4.53333333333333,90
4.28333333333333,68
4.25,93
4.46666666666667,97
4.13333333333333,89
4.01666666666667,90
4.13333333333333,103
4.41666666666667,92
4.01666666666667,106
4,80
4.13333333333333,91
4.23333333333333,91
4.31666666666667,89
1.75,71
4.18333333333333,71
4.36666666666667,87
4,116
4.5,93
4,88
4.16666666666667,98
4.23333333333333,99
4.4,94
4.3,111
4.15,89
3.93333333333333,101
4.31666666666667,86
4.21666666666667,93
4.16666666666667,105
4.1,79
3.91666666666667,93
4.28333333333333,99
3.98333333333333,93
4.13333333333333,98
4.38333333333333,99
4.08333333333333,86
4.5,90
4.11666666666667,67
4.08333333333333,100
4.01666666666667,94
4.33333333333333,96
4.28333333333333,100
4.3,93
1.75,93
4.4,96
4.46666666666667,54
1.75,100
4.16666666666667,84
4.2,92
4,90
4.08333333333333,93
3.96666666666667,90
4.03333333333333,87
4.01666666666667,95
3.96666666666667,86
4.01666666666667,80
3.88333333333333,92
4.4,110
4.15,91
3.98333333333333,101
4.35,93
4.13333333333333,83
3.98333333333333,94
1.81666666666667,93
4.01666666666667,90
4.36666666666667,100
4.08333333333333,111
4.11666666666667,92
3.88333333333333,97
4.06666666666667,93
4.16666666666667,81
3.81666666666667,89
4.21666666666667,99
4.28333333333333,82
4.08333333333333,82
4.3,87
4.03333333333333,91
4.25,91
4.01666666666667,104
4.05,106
3.93333333333333,91
4.28333333333333,85
4.03333333333333,108
4.16666666666667,101
4,88
4.31666666666667,87
4.18333333333333,89
3.75,87
3.75,101
4.1,83
4.06666666666667,103
4.08333333333333,92
4.06666666666667,85
4.05,69
4.13333333333333,91
4.03333333333333,86
4.1,95
4.06666666666667,95
4.05,96
4.01666666666667,91
4.2,91
4.11666666666667,91
4.01666666666667,89
4.13333333333333,97
4.2,101
4.21666666666667,86
4.08333333333333,89
4.26666666666667,95
4.15,93
4.36666666666667,88
4.2,95
3.98333333333333,86
4.31666666666667,90
4.08333333333333,88
4.38333333333333,97
4.21666666666667,98
4.6,91
4.23333333333333,102
4.2,103
4.08333333333333,91
3.83333333333333,88
4.03333333333333,94
4.08333333333333,79
4.1,99
4.25,82
4.33333333333333,103
4.41666666666667,89
4.21666666666667,111
4.16666666666667,89
3.96666666666667,86
4.2,86
4.33333333333333,82
4.08333333333333,100
4.23333333333333,98
4.16666666666667,102
4.08333333333333,94
4.18333333333333,94
4.16666666666667,92
4.08333333333333,90
4.33333333333333,107
4.21666666666667,100
4.33333333333333,87
4.11666666666667,99
4.31666666666667,85
4.3,87
2.25,98
4.31666666666667,83
4.21666666666667,90
4.13333333333333,87
4.23333333333333,91
4.35,84
4.28333333333333,93
2.01666666666667,92
3.98333333333333,83
4.13333333333333,99
4.16666666666667,93
4.18333333333333,92
4.18333333333333,83
4.2,92
4.1,88
4.43333333333333,99
4.2,91
4.13333333333333,101
4.26666666666667,83
4.38333333333333,101
4.25,91
4.06666666666667,67
4.23333333333333,96
4.18333333333333,99
2.1,86
1.93333333333333,68
4.63333333333333,89
4.23333333333333,100
4.28333333333333,100
4.31666666666667,99
4.41666666666667,86
4.56666666666667,87
4.13333333333333,94
3.96666666666667,83
4.25,86
1.91666666666667,90
4.33333333333333,93
4.1,71
4.35,100
4.35,98
4.38333333333333,95
4.06666666666667,96
4.18333333333333,93
4,89
4.23333333333333,98
3.9,93
4.03333333333333,84
4.2,89
4.08333333333333,93
4.01666666666667,92
4.3,87
4.28333333333333,97
4.06666666666667,70
4.41666666666667,106
4.1,82
4.46666666666667,97
4.25,100
4,84
4.33333333333333,94
4.18333333333333,98
4.43333333333333,100
4.13333333333333,84
4.21666666666667,99
4.03333333333333,84
4.46666666666667,95
4.1,99
4.11666666666667,74
4.18333333333333,95
4.31666666666667,90
4.06666666666667,89
4.25,95
3.96666666666667,91
4.18333333333333,96
4.01666666666667,90
4.01666666666667,106
4.06666666666667,86
4.13333333333333,100
3.78333333333333,86
4.03333333333333,102
2.01666666666667,88
4.45,89
3.9,71
4.3,89
4.1,102
4.11666666666667,94
4.61666666666667,103
4.15,94
4.4,95
3.95,98
4.51666666666667,88
4.05,89
4.13333333333333,92
4.2,93
3.98333333333333,87
4.16666666666667,96
3.93333333333333,89
4.48333333333333,99
4.51666666666667,88
4.33333333333333,93
5.33333333333333,92
4.45,100
3.83333333333333,94
4.66666666666667,85
4.4,96
4.1,88
4.25,95
4,83
4.55,86
4.13333333333333,66
4.18333333333333,96
4.08333333333333,102
4,82
4.23333333333333,90
3.61666666666667,83
2.25,96
4.36666666666667,57
4.16666666666667,100
3,88
4.33333333333333,90
3.65,89
4.25,93
4.33333333333333,91
4.16666666666667,103
4.23333333333333,88
4.15,107
4.4,84
4.05,69
4.31666666666667,84
4.05,103
4.33333333333333,93
4.4,87
4.08333333333333,95
4.58333333333333,84
3.91666666666667,91
4.08333333333333,91
4.11666666666667,86
4.16666666666667,98
4.5,88
4.56666666666667,94
4.3,62
4.38333333333333,86
4.3,92
4.05,83
4.31666666666667,97
3.7,87
4.38333333333333,87
4.76666666666667,75
4.31666666666667,107
4.13333333333333,92
4.26666666666667,92
4.2,90
4.5,85
4.9,98
1.83333333333333,98
4.66666666666667,99
