"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"77","RT @HelpingLostPets: #dogs LOST #Magnolia TX,USA, Australian Cattle Dog, Feb.24/19, https://t.co/8ja9FsqsCW @LostDogTX",FALSE,0,NA,2019-02-25 18:40:42,FALSE,NA,"1100103310693019652",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NiomiNiomid",3,TRUE,FALSE,NA,NA
"78","Thank you @random_viktor for capturing the playfulness of Lucas #aussiesofinstagram #aussiepuppy… https://t.co/GvTCKlMl9s",FALSE,0,NA,2019-02-25 18:40:35,TRUE,NA,"1100103279558615040",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TheIntuitiveDoc",0,FALSE,FALSE,NA,NA
"79","Did You Know: Dogs have a total of 42 teeth? During puppyhood, dogs only have 28 teeth, but eventually their perman… https://t.co/h95mghEuaP",FALSE,0,NA,2019-02-25 18:40:11,TRUE,NA,"1100103177620410368",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","24petwatch",0,FALSE,FALSE,NA,NA
"80","Sniff has decided her bed is better outside my office.
#dogs https://t.co/fvHGTmk6fO",FALSE,0,NA,2019-02-25 18:40:07,FALSE,NA,"1100103163007434752",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","zomB96",0,FALSE,FALSE,NA,NA
"81","RT @dogofthedaycom: Monday’s Dog of the Day is #cute Thor, a #GermanShepherd #labradorretriever Retriever mix  #love - read his tale https:…",FALSE,0,NA,2019-02-25 18:40:06,FALSE,NA,"1100103158695714822",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AngelMabel19761",1,TRUE,FALSE,NA,NA
"82","Madlene The Border Collie https://t.co/Oe553pIA4O #bordercollie #Dogs #bordercolliefc",FALSE,0,NA,2019-02-25 18:39:59,FALSE,NA,"1100103130900033537",NA,"<a href=""http://www.bordercolliefanclub.com"" rel=""nofollow"">Monarch-Border-Collie</a>","bordercolliefc",0,FALSE,FALSE,NA,NA
"83","RT @nowthatsbully: Who’s side are you on? #dogs #pets https://t.co/Y743YWznCd",FALSE,0,NA,2019-02-25 18:39:51,FALSE,NA,"1100103095738982400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gaaiil_",159,TRUE,FALSE,NA,NA
"84","RT @BellaInxs2: This is the Mom instinct !!!       #PuppyPower #puppies #love #dogs #animals ♥️🐶.    https://t.co/Bfj4TEZmLB",FALSE,0,NA,2019-02-25 18:39:49,FALSE,NA,"1100103086704451586",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Katherinebeech4",1477,TRUE,FALSE,NA,NA
"85","RT @Cat_Kapow: 🇺🇾.@adrianlandarte Adrian Landarte Vice President #FCI Americas &amp; Caribbean  please Boycott #WorldDogShow #Shanghai 🇨🇳👿
#Chi…",FALSE,0,NA,2019-02-25 18:39:08,FALSE,NA,"1100102915874844678",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MariaOD05737730",67,TRUE,FALSE,NA,NA
"86","On Mondays we are super shiny 🌚🌚🌚 #pug #pugs #puppy #pugsofinstagram #instagood #dog #dogs #love #animal #pet… https://t.co/q2600KvsOw",FALSE,0,NA,2019-02-25 18:39:06,TRUE,NA,"1100102906953363456",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","bubblebeccapugs",0,FALSE,FALSE,NA,NA
